Priority,Platform,Status,Who it is for,Account needed,Credentials required,Still missing,Cost,Where to get it,Steps,Watch out for,Ownership tier,Link authority
P4,Sourcehut Pages,NOT CONNECTED,developer,One account per CLIENT,"token, domain","token, domain",Free during the public alpha for basic publishing,https://meta.sr.ht/oauth2,Generate a personal access token. Give us: token + the site domain.,Publishing via the BUILD system needs a paid sourcehut account; the direct tarball upload we use does not. Treat the free path as alpha-grade.,per_client,medium
ours - no credential,Telegra.ph,AUTO - run the command,agnostic,Agency HOUSE account (already provisioned),access_token,,Free,(nothing to fetch),Nothing to fetch. Run: python -m app.cli.web2_signup --platforms 'Telegra.ph' then register the printed credential with app.cli.web2_accounts.,"Zero identity means low trust and low link value. Use it for reach, not authority.",house,low
done,GitHub Gist,CONNECTED,developer,One account per CLIENT,token,,Free,https://github.com/settings/personal-access-tokens,Create a token with Gists: Read+Write. Give us: token.,"Gist links are nofollow - useful for reach, not for link equity.",per_client,high
done,GitLab Snippets,CONNECTED,developer,One account per CLIENT,token,,Free,https://gitlab.com/-/user_settings/personal_access_tokens,Create a PAT with the 'api' scope. Give us: token.,Snippet links are nofollow.,per_client,high
done,Hashnode,CONNECTED,developer,One account per CLIENT,"pat, publication_id",,"PAID - Hashnode Pro, $5 per seat / month",https://hashnode.com/settings/developer,1) Settings -> Developer -> generate a Personal Access Token. 2) Take the publication id from the dashboard URL (hashnode.com/dashboards/<PUBLICATION_ID>/general). 3) Give us: pat + publication_id.,As of 13 May 2026 BOTH read and publish access to Hashnode's GraphQL API require a Pro subscription. A token issued on a free account will be rejected. Do not assign this until someone decides to pay.,per_client,medium
done,dev.to,CONNECTED,developer,One account per CLIENT,api_key,,Free,https://dev.to/settings/extensions,Settings -> Extensions -> 'DEV Community API Keys' -> generate. Give us: api_key.,Links are nofollow and dev.to's rules forbid off-topic promotional posts - only genuinely developer-audience clients belong here.,per_client,medium
-,Bluesky,NOT IN SCOPE,niche,Agency house account,"identifier, app_password","identifier, app_password",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,high
-,Disqus,NOT IN SCOPE,niche,Agency house account,"access_token, api_key, username","access_token, api_key, username",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,Dreamwidth,NOT IN SCOPE,niche,Agency house account,"username, password",,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,Drupal,NOT IN SCOPE,niche,Agency house account,"base_url, username, password","base_url, username, password",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,FC2 Blog,NOT IN SCOPE,niche,Agency house account,"blog_id, username, password","blog_id, username, password",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Ghost,NOT IN SCOPE,niche,Agency house account,"admin_api_key, api_url",,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Gravatar,NOT IN SCOPE,niche,Agency house account,"api_token, username","api_token, username",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Hatena Blog,NOT IN SCOPE,niche,Agency house account,"hatena_id, blog_id, api_key","hatena_id, blog_id, api_key",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,HubSpot CMS,NOT IN SCOPE,niche,Agency house account,"access_token, content_group_id","access_token, content_group_id",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,high
-,Hygraph,NOT IN SCOPE,niche,Agency house account,"endpoint, token","endpoint, token",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Internet Archive,NOT IN SCOPE,niche,Agency house account,"access_key, secret_key","access_key, secret_key",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,high
-,Joomla,NOT IN SCOPE,niche,Agency house account,"base_url, api_token, catid","base_url, api_token, catid",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,Lemmy,NOT IN SCOPE,niche,Agency house account,"username, password, community","username, password, community",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,LiveJournal,NOT IN SCOPE,niche,Agency house account,"username, password",,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Livedoor Blog,NOT IN SCOPE,niche,Agency house account,"livedoor_id, blog_name, api_key","livedoor_id, blog_name, api_key",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Mastodon,NOT IN SCOPE,niche,Agency house account,"access_token, instance_url","access_token, instance_url",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Mastodon,NOT IN SCOPE,niche,Agency house account,"access_token, instance_url","access_token, instance_url",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Mastodon,NOT IN SCOPE,niche,Agency house account,"access_token, instance_url","access_token, instance_url",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,high
-,Mataroa,NOT IN SCOPE,niche,Agency house account,api_key,api_key,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,Medium,NOT IN SCOPE,niche,Agency house account,(none),,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,high
-,Micro.blog,NOT IN SCOPE,niche,Agency house account,token,token,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,Minds,NOT IN SCOPE,niche,Agency house account,access_token,access_token,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Misskey,NOT IN SCOPE,niche,Agency house account,token,token,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Notion,NOT IN SCOPE,niche,Agency house account,"integration_token, parent_page_id","integration_token, parent_page_id",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,high
-,Pastebin.com,NOT IN SCOPE,niche,Agency house account,api_dev_key,api_dev_key,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Pixelfed,NOT IN SCOPE,niche,Agency house account,"access_token, placeholder_image_url","access_token, placeholder_image_url",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Plurk,NOT IN SCOPE,niche,Agency house account,"consumer_key, consumer_secret, access_token, access_token_secret","consumer_key, consumer_secret, access_token, access_token_secret",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Sanity,NOT IN SCOPE,niche,Agency house account,"api_token, project_id, dataset",,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Seesaa Blog,NOT IN SCOPE,niche,Agency house account,"blog_id, username, password","blog_id, username, password",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Storyblok,NOT IN SCOPE,niche,Agency house account,"token, space_id","token, space_id",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Warpcast,NOT IN SCOPE,niche,Agency house account,"api_key, signer_uuid","api_key, signer_uuid",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Webflow,NOT IN SCOPE,niche,Agency house account,"api_token, collection_id, site","api_token, collection_id, site",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,WhiteWind,NOT IN SCOPE,niche,Agency house account,"identifier, app_password","identifier, app_password",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,Write.as,NOT IN SCOPE,niche,Agency house account,"token, alias","token, alias",Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,WriteFreely,NOT IN SCOPE,niche,Agency house account,instance_url,instance_url,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
-,dpaste.org,NOT IN SCOPE,niche,Agency house account,(none),,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,paste.ee,NOT IN SCOPE,niche,Agency house account,api_key,api_key,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,low
-,rentry.co,NOT IN SCOPE,niche,Agency house account,(none),,Free,,,"Catalogued do_not_use: its terms, its link value, or its content model make a placement here indefensible. A stored credential does not change that.",do_not_use,medium
